timestamp,gamma_rad,dgamma_radps,phi_rad,dphi_radps
4.8829674721, 3.0485022068, -0.0000005472, -0.0573543757, -0.0000000000
4.8929400444, 3.0485022068, -0.0000106276, -0.0573543757, -0.0000000000
4.9028801918, 3.0485022068, 0.0010860641, -0.0573543757, -0.0000000000
4.9128823280, 3.0485022068, 0.0021875226, -0.0573543757, -0.0000000000
4.9228811264, 3.0485022068, -0.0010908308, -0.0573543757, -0.0000000000
4.9328069687, 3.0485022068, 0.0011137276, -0.0571959503, -0.0000000000
4.9428000450, 3.0485022068, 0.0010786949, -0.0571959503, -0.0000000000
4.9528141022, 3.0485022068, 0.0021995949, -0.0571959503, -0.0000000000
4.9627251625, 3.0485022068, 0.0043464722, -0.0571959503, -0.0000000000
4.9727277756, 3.0485022068, 0.0021880001, -0.0569455102, -0.0000000000
4.9827241898, 3.0485022068, -0.0010791704, -0.0569455102, -0.0000000000
4.9926338196, 3.0485022068, 0.0011188930, -0.0567884706, -0.0000000000
5.0026311874, 3.0485022068, 0.0000062989, -0.0567884706, -0.0000000000
5.0126318932, 3.0485022068, 0.0011023529, -0.0567884706, -0.0000000000
5.0225615501, 3.0485022068, 0.0000288052, -0.0567884706, -0.0000000000
5.0325593948, 3.0485022068, 0.0011028907, -0.0567884706, -0.0000000000
5.0425567627, 3.0485022068, 0.0000125978, -0.0567884706, -0.0000000000
5.0525498390, 3.0485022068, 0.0000241199, -0.0567884706, -0.0000000000
5.0624699593, 3.0485022068, 0.0032746438, -0.0567884706, -0.0000000000
5.0724716187, 3.0485022068, 0.0010856076, -0.0567884706, -0.0000000000
5.0824670792, 3.0485022068, 0.0010850697, -0.0567884706, -0.0000000000
5.0923752785, 3.0485022068, 0.0010965918, -0.0565380082, -0.0000000000
5.1023759842, 3.0485022068, 0.0010850369, -0.0565380082, -0.0000000000
5.1123790741, 3.0485022068, -0.0010797838, -0.0565380082, -0.0000000000
5.1222987175, 3.0485022068, 0.0000105060, -0.0565380082, -0.0000000000
5.1322913170, 3.0485022068, -0.0000110469, -0.0565380082, -0.0000000000
5.1423010826, 3.0485022068, -0.0000168409, -0.0565380082, -0.0000000000
